# 1 Gaussian
# 1.1 total threads: 64
keys: 16, blocks: 2, threads: 32, time: 0.037097s
keys: 17, blocks: 2, threads: 32, time: 0.081853s
keys: 18, blocks: 2, threads: 32, time: 0.174608s
keys: 19, blocks: 2, threads: 32, time: 0.332673s
keys: 20, blocks: 2, threads: 32, time: 0.720180s
keys: 21, blocks: 2, threads: 32, time: 1.555822s
keys: 22, blocks: 2, threads: 32, time: 3.322091s
keys: 23, blocks: 2, threads: 32, time: 7.170782s
keys: 24, blocks: 2, threads: 32, time: 15.682985s
# 1.2 total threads: 128
keys: 16, blocks: 2, threads: 64, time(s): 0.019246
keys: 17, blocks: 2, threads: 64, time(s): 0.043086
keys: 18, blocks: 2, threads: 64, time(s): 0.097074
keys: 19, blocks: 2, threads: 64, time(s): 0.185916
keys: 20, blocks: 2, threads: 64, time(s): 0.372400
keys: 21, blocks: 2, threads: 64, time(s): 0.808560
keys: 22, blocks: 2, threads: 64, time(s): 1.743244
keys: 23, blocks: 2, threads: 64, time(s): 3.713233
keys: 24, blocks: 2, threads: 64, time(s): 8.043931
# 1.3 total threads: 256
keys: 16, blocks: 4, threads: 64, time(s): 0.007765
keys: 17, blocks: 4, threads: 64, time(s): 0.017971
keys: 18, blocks: 4, threads: 64, time(s): 0.039154
keys: 19, blocks: 4, threads: 64, time(s): 0.085636
keys: 20, blocks: 4, threads: 64, time(s): 0.186355
keys: 21, blocks: 4, threads: 64, time(s): 0.408486
keys: 22, blocks: 4, threads: 64, time(s): 0.897503
keys: 23, blocks: 4, threads: 64, time(s): 1.927693
keys: 24, blocks: 4, threads: 64, time(s): 4.094260
# 1.4 total threads: 512
keys: 16, blocks: 8, threads: 64, time(s): 0.005682
keys: 17, blocks: 8, threads: 64, time(s): 0.013464
keys: 18, blocks: 8, threads: 64, time(s): 0.027431
keys: 19, blocks: 8, threads: 64, time(s): 0.060381
keys: 20, blocks: 8, threads: 64, time(s): 0.126707
keys: 21, blocks: 8, threads: 64, time(s): 0.245269
keys: 22, blocks: 8, threads: 64, time(s): 0.480128
keys: 23, blocks: 8, threads: 64, time(s): 1.055803
keys: 24, blocks: 8, threads: 64, time(s): 2.262406
# 1.5 total threads: 1024
keys: 16, blocks: 16, threads: 64, time(s): 0.003401
keys: 17, blocks: 16, threads: 64, time(s): 0.008503
keys: 18, blocks: 16, threads: 64, time(s): 0.015651
keys: 19, blocks: 16, threads: 64, time(s): 0.036469
keys: 20, blocks: 16, threads: 64, time(s): 0.078790
keys: 21, blocks: 16, threads: 64, time(s): 0.137621
keys: 22, blocks: 16, threads: 64, time(s): 0.287353
keys: 23, blocks: 16, threads: 64, time(s): 0.657116
keys: 24, blocks: 16, threads: 64, time(s): 1.413506
# 1.6 total threads: 2048
keys: 16, blocks: 32, threads: 64, time(s): 0.002673
keys: 17, blocks: 32, threads: 64, time(s): 0.005491
keys: 18, blocks: 32, threads: 64, time(s): 0.012286
keys: 19, blocks: 32, threads: 64, time(s): 0.026233
keys: 20, blocks: 32, threads: 64, time(s): 0.065764
keys: 21, blocks: 32, threads: 64, time(s): 0.133625
keys: 22, blocks: 32, threads: 64, time(s): 0.256079
keys: 23, blocks: 32, threads: 64, time(s): 0.511718
keys: 24, blocks: 32, threads: 64, time(s): 1.156021
# 1.7 total threads: 4096
keys: 16, blocks: 64, threads: 64, time(s): 0.002031
keys: 17, blocks: 64, threads: 64, time(s): 0.005151
keys: 18, blocks: 64, threads: 64, time(s): 0.010975
keys: 19, blocks: 64, threads: 64, time(s): 0.026447
keys: 20, blocks: 64, threads: 64, time(s): 0.061233
keys: 21, blocks: 64, threads: 64, time(s): 0.168602
